Vecka,Year,Region,AntalVaccinerade,AndelVaccinerade,Vaccinationsstatus
01,2021,Södermanland,4022,"0,017181",Minst 1 dos
01,2021,Södermanland,0,"0,000000",Färdigvaccinerade
01,2021,Östergötland,4358,"0,011772",Minst 1 dos
01,2021,Östergötland,0,"0,000000",Färdigvaccinerade
01,2021,Jönköping,1663,"0,005831",Minst 1 dos
01,2021,Jönköping,0,"0,000000",Färdigvaccinerade
01,2021,Kronoberg,1238,"0,007828",Minst 1 dos
01,2021,Kronoberg,0,"0,000000",Färdigvaccinerade
01,2021,Kalmar,1859,"0,009423",Minst 1 dos
01,2021,Kalmar,0,"0,000000",Färdigvaccinerade
01,2021,Gotland,496,"0,010114",Minst 1 dos
01,2021,Gotland,0,"0,000000",Färdigvaccinerade
01,2021,Blekinge,1647,"0,012978",Minst 1 dos
01,2021,Blekinge,0,"0,000000",Färdigvaccinerade
01,2021,Skåne,4485,"0,004116",Minst 1 dos
01,2021,Skåne,0,"0,000000",Färdigvaccinerade
01,2021,Halland,373,"0,001414",Minst 1 dos
01,2021,Halland,0,"0,000000",Färdigvaccinerade
01,2021,Västra Götaland,7089,"0,005170",Minst 1 dos
01,2021,Västra Götaland,0,"0,000000",Färdigvaccinerade
01,2021,Värmland,1122,"0,004926",Minst 1 dos
01,2021,Värmland,0,"0,000000",Färdigvaccinerade
01,2021,Örebro,3113,"0,012886",Minst 1 dos
01,2021,Örebro,0,"0,000000",Färdigvaccinerade
01,2021,Västmanland,92,"0,000421",Minst 1 dos
01,2021,Västmanland,0,"0,000000",Färdigvaccinerade
01,2021,Dalarna,3104,"0,013543",Minst 1 dos
01,2021,Dalarna,0,"0,000000",Färdigvaccinerade
01,2021,Gävleborg,2024,"0,008802",Minst 1 dos
01,2021,Gävleborg,0,"0,000000",Färdigvaccinerade
01,2021,Västernorrland,1948,"0,009963",Minst 1 dos
01,2021,Västernorrland,0,"0,000000",Färdigvaccinerade
01,2021,Jämtland,1074,"0,010271",Minst 1 dos
01,2021,Jämtland,0,"0,000000",Färdigvaccinerade
01,2021,Västerbotten,1102,"0,005044",Minst 1 dos
01,2021,Västerbotten,0,"0,000000",Färdigvaccinerade
01,2021,Norrbotten,1289,"0,006339",Minst 1 dos
01,2021,Norrbotten,0,"0,000000",Färdigvaccinerade
02,2021,| Sverige |,128374,"0,015675",Minst 1 dos
02,2021,| Sverige |,187,"0,000023",Färdigvaccinerade
02,2021,Stockholm,22707,"0,012149",Minst 1 dos
02,2021,Stockholm,164,"0,000088",Färdigvaccinerade
02,2021,Uppsala,5289,"0,017266",Minst 1 dos
02,2021,Uppsala,0,"0,000000",Färdigvaccinerade
02,2021,Södermanland,7130,"0,030459",Minst 1 dos
02,2021,Södermanland,0,"0,000000",Färdigvaccinerade
02,2021,Östergötland,6673,"0,018025",Minst 1 dos
02,2021,Östergötland,0,"0,000000",Färdigvaccinerade
02,2021,Jönköping,6947,"0,024359",Minst 1 dos
02,2021,Jönköping,0,"0,000000",Färdigvaccinerade
02,2021,Kronoberg,2254,"0,014252",Minst 1 dos
02,2021,Kronoberg,0,"0,000000",Färdigvaccinerade
02,2021,Kalmar,4507,"0,022846",Minst 1 dos
02,2021,Kalmar,0,"0,000000",Färdigvaccinerade
02,2021,Gotland,1171,"0,023877",Minst 1 dos
02,2021,Gotland,0,"0,000000",Färdigvaccinerade
02,2021,Blekinge,2786,"0,021952",Minst 1 dos
02,2021,Blekinge,5,"0,000039",Färdigvaccinerade
02,2021,Skåne,14919,"0,013692",Minst 1 dos
02,2021,Skåne,0,"0,000000",Färdigvaccinerade
02,2021,Halland,2937,"0,011137",Minst 1 dos
02,2021,Halland,0,"0,000000",Färdigvaccinerade
02,2021,Västra Götaland,16297,"0,011886",Minst 1 dos
02,2021,Västra Götaland,7,"0,000005",Färdigvaccinerade
02,2021,Värmland,2617,"0,011491",Minst 1 dos
02,2021,Värmland,0,"0,000000",Färdigvaccinerade
02,2021,Örebro,5653,"0,023401",Minst 1 dos
02,2021,Örebro,0,"0,000000",Färdigvaccinerade
02,2021,Västmanland,5123,"0,023416",Minst 1 dos
02,2021,Västmanland,0,"0,000000",Färdigvaccinerade
02,2021,Dalarna,3170,"0,013831",Minst 1 dos
02,2021,Dalarna,0,"0,000000",Färdigvaccinerade
02,2021,Gävleborg,4628,"0,020125",Minst 1 dos
02,2021,Gävleborg,0,"0,000000",Färdigvaccinerade
02,2021,Västernorrland,4760,"0,024346",Minst 1 dos
02,2021,Västernorrland,0,"0,000000",Färdigvaccinerade
02,2021,Jämtland,2065,"0,019748",Minst 1 dos
02,2021,Jämtland,0,"0,000000",Färdigvaccinerade
02,2021,Västerbotten,3244,"0,014848",Minst 1 dos
02,2021,Västerbotten,0,"0,000000",Färdigvaccinerade
02,2021,Norrbotten,3497,"0,017198",Minst 1 dos
02,2021,Norrbotten,0,"0,000000",Färdigvaccinerade
03,2021,| Sverige |,230756,"0,028176",Minst 1 dos
03,2021,| Sverige |,10430,"0,001274",Färdigvaccinerade
03,2021,Stockholm,34562,"0,018491",Minst 1 dos
03,2021,Stockholm,2040,"0,001091",Färdigvaccinerade
03,2021,Uppsala,8003,"0,026126",Minst 1 dos
03,2021,Uppsala,224,"0,000731",Färdigvaccinerade
03,2021,Södermanland,10592,"0,045248",Minst 1 dos
03,2021,Södermanland,815,"0,003482",Färdigvaccinerade
03,2021,Östergötland,11317,"0,030570",Minst 1 dos
